"","...1","region","group","fertility","ppgdp","lifeExpF","pctUrban","infantMortality"
"144","Norway","Europe","oecd",1948000,84588.7,8347000,80,2940000
"145","Oman","Asia","other",2146000,20791,7644000,73,8414000
"146","Pakistan","Asia","other",3201000,1003.2,6688000,36,65724000
"147","Palau","Oceania","other",2e+06,10821.8,7210000,84,20075282
"148","Palestinian Territory","Asia","other",4270000,1819.5,7481000,74,19503000
"149","Panama","Latin Amer","other",2409000,7614,7907000,75,16168000
"150","Papua New Guinea","Oceania","other",3799000,1428.4,6552000,13,44474000
"151","Paraguay","Latin Amer","other",2858000,2771.1,7491000,62,27375000
"152","Peru","Latin Amer","other",2410000,5410.7,7690000,77,18273000
"153","Philippines","Asia","other",3050000,2140.1,7257000,49,20886000
"154","Poland","Europe","oecd",1415000,12263.2,8056000,61,5546000
"155","Portugal","Europe","oecd",1312000,21437.6,8276000,61,4175000
"156","Puerto Rico","Caribbean","other",1757000,26461,8320000,99,7243000
"157","Qatar","Asia","other",2204000,72397.9,7824000,96,8195000
"158","Republic of Korea","Asia","other",1389000,21052.2,8395000,83,3647000
"159","Reunion","NA","NA",NA,NA,NA,NA,5884000
"160","Romania","Europe","other",1428000,7522.4,7795000,58,12216000
"161","Russian Federation","Europe","other",1529000,10351.4,7501000,73,10534000
"162","Rwanda","Africa","africa",5282000,532.3,5713000,19,92870000
"163","Saint Lucia","Caribbean","other",1907000,6677.1,7754000,28,12260000
"164","Samoa","Oceania","other",3763000,3343.3,7602000,20,19848000
"165","Sao Tome and Principe","Africa","africa",3488000,1283.3,6648000,63,47486000
"166","Saudi Arabia","Asia","other",2639000,15835.9,7557000,82,16202000
"167","Senegal","Africa","africa",4605000,1032.7,6092000,43,49802000
"168","Serbia","Europe","other",1562000,5123.2,7705000,56,10630000
"169","Seychelles","Africa","africa",2340000,11450.6,7800000,56,NA
"170","Sierra Leone","Africa","africa",4728000,351.7,4887000,39,103459000
"171","Singapore","Asia","other",1367000,43783.1,8371000,100,1916000
"172","Slovakia","Europe","oecd",1372000,15976,7953000,55,5676000
"173","Slovenia","Europe","oecd",1477000,23109.8,8284000,49,3279000
"174","Solomon Islands","Oceania","other",4041000,1193.5,7e+06,19,34569000
"175","Somalia","Africa","africa",6283000,114.8,5338000,38,100017000
"176","South Africa","Africa","africa",2383000,7254.8,5409000,62,45892000
"177","Spain","Europe","other",1504000,30542.8,8476000,78,3573000
"178","Sri Lanka","Asia","other",2235000,2375.3,7840000,14,11213000
"179","St Vincent and Grenadines","Caribbean","other",1995000,6171.7,7473000,50,20974000
"180","Sudan","Africa","africa",4225000,1824.9,6382000,41,57328000
"181","Suriname","Latin Amer","other",2266000,7018,7418000,70,19775000
"182","Swaziland","Africa","africa",3174000,3311.2,4854000,21,64622000
"183","Sweden","Europe","oecd",1925000,48906.2,8365000,85,2544000
"184","Switzerland","Europe","oecd",1536000,68880.2,8471000,74,3513000
"185","Syria","Asia","other",2772000,2931.5,7772000,56,13764000
"186","Tajikistan","Asia","other",3162000,816,7123000,26,50947000
"187","Tanzania","Africa","africa",5499000,516,6031000,27,53658000
"188","TFYR Macedonia","Europe","other",1397000,4434.5,7714000,59,13063000
"189","Thailand","Asia","other",1528000,4612.8,7776000,34,11398000
"190","Togo","Africa","africa",3864000,524.6,5940000,44,67297000
"191","Tokelau","NA","NA",NA,NA,NA,NA,31250000
"192","Tonga","Oceania","other",3783000,3543.1,7538000,24,20591000
"193","Trinidad and Tobago","Caribbean","other",1632000,15205.1,7382000,14,24458000
"194","Tunisia","Africa","africa",1909000,4222.1,7705000,68,18384000
"195","Turkey","Asia","oecd",2022000,10095.1,7661000,70,19901000
"196","Turkmenistan","Asia","other",2316000,4587.5,6940000,50,48797000
"197","Tuvalu","Oceania","other",3700000,3187.2,6510000,51,17322835
"198","Uganda","Africa","africa",5901000,509,5544000,13,72265000
"199","Ukraine","Europe","other",1483000,3035,7458000,69,11822000
"200","United Arab Emirates","Asia","other",1707000,39624.7,7802000,84,6608000
"201","United Kingdom","Europe","oecd",1867000,36326.8,8242000,80,4702000
"202","United States","North America","oecd",2077000,46545.9,8131000,83,6460000
"203","United States Virgin Islands","NA","NA",NA,NA,NA,NA,9990000
"204","Uruguay","Latin Amer","other",2043000,11952.4,8066000,93,11754000
"205","Uzbekistan","Asia","other",2264000,1427.3,7190000,36,44481000
"206","Vanuatu","Oceania","other",3750000,2963.5,7358000,26,24135000
"207","Venezuela","Latin Amer","other",2391000,13502.7,7773000,94,15278000
"208","Viet Nam","Asia","other",1750000,1182.7,7744000,31,18263000
"209","Wallis and Futuna Islands","NA","NA",NA,NA,NA,NA,5200000
"210","Western Sahara","NA","NA",NA,NA,NA,NA,36350000
"211","Yemen","Asia","other",4938000,1437.2,6766000,32,44412000
"212","Zambia","Africa","africa",6300000,1237.8,5004000,36,80956000
"213","Zimbabwe","Africa","africa",3109000,573.1,5272000,39,47284000
